Orden,Nombre,Frecuencia,Edad Media (*),sexo
5311,FIDENCIA,154 ,"74,6",Mujer
22876,BALBANERA,27 ,"74,6",Mujer
24.449,ANA MARIA FRANCISCA,25 ,"74,6",Mujer
23183,PETER FREDERICK,27 ,"74,5",Hombres
23547,EVILASIO,26 ,"74,5",Hombres
365,TOMASA,7.118 ,"74,5",Mujer
481,JUSTA,4.716 ,"74,5",Mujer
1367,AGRIPINA,1.135 ,"74,5",Mujer
2586,LEONILA,407 ,"74,5",Mujer
3165,MAXIMILIANA,305 ,"74,5",Mujer
3474,BLANDINA,268 ,"74,5",Mujer
17456,GREGORIA PILAR,37 ,"74,5",Mujer
22905,BRENDA MARGARET,27 ,"74,5",Mujer
6878,DOMITILO,120 ,"74,4",Hombres
7191,HORST,114 ,"74,4",Hombres
10912,CRESCENTE,67 ,"74,4",Hombres
13167,TEOTIMO,54 ,"74,4",Hombres
288,GREGORIA,9.498 ,"74,4",Mujer
1409,CEFERINA,1.078 ,"74,4",Mujer
4437,GERARDA,195 ,"74,4",Mujer
4924,MARIA AMABLE,170 ,"74,4",Mujer
8283,HEIDEMARIE,89 ,"74,4",Mujer
9649,SHEILA ANN,74 ,"74,4",Mujer
15644,JEAN MARY,42 ,"74,4",Mujer
17345,BARBARA MARY,37 ,"74,4",Mujer
21953,PATRICIA JEAN,29 ,"74,4",Mujer
28.188,SENORINA,22 ,"74,4",Mujer
13206,AUDELINO,53 ,"74,3",Hombres
181,FELISA,21.396 ,"74,3",Mujer
2162,EUFRASIA,529 ,"74,3",Mujer
2487,OROSIA,430 ,"74,3",Mujer
2516,EMERENCIANA,422 ,"74,3",Mujer
2824,ORFELINA,357 ,"74,3",Mujer
2968,FAUSTA,335 ,"74,3",Mujer
3395,BENJAMINA,277 ,"74,3",Mujer
5608,BERNABEA,143 ,"74,3",Mujer
6177,LICINIA,128 ,"74,3",Mujer
16390,MARIA DORITA,40 ,"74,3",Mujer
17703,VENERADA,37 ,"74,3",Mujer
18258,BASELISA,35 ,"74,3",Mujer
19264,DOMNINA,33 ,"74,3",Mujer
19537,PATRICIA MAY,33 ,"74,3",Mujer
22576,MAUREEN PATRICIA,28 ,"74,3",Mujer
24.930,MARIA CARMEN CONSUELO,25 ,"74,3",Mujer
25.828,MARIA CARMEN FELISA,24 ,"74,3",Mujer
26.468,ENEMESIA,23 ,"74,3",Mujer
28.663,EFIDENCIA,21 ,"74,3",Mujer
7653,DIODORO,105 ,"74,2",Hombres
19569,LUDIVINO,33 ,"74,2",Hombres
22252,HEINZ JURGEN,28 ,"74,2",Hombres
23573,FUNDADOR,26 ,"74,2",Hombres
26008,HERMILO,23 ,"74,2",Hombres
4382,TORIBIA,199 ,"74,2",Mujer
7111,JUVENTINA,107 ,"74,2",Mujer
11046,CORONACION,62 ,"74,2",Mujer
12301,MARIA CARMEN JULIA,55 ,"74,2",Mujer
13968,VALERA,48 ,"74,2",Mujer
20948,CORSINA,30 ,"74,2",Mujer
21854,MARIA TERESA JOSEFA,29 ,"74,2",Mujer
26.966,ONOFRA,23 ,"74,2",Mujer
27.152,VALERIE JOAN,23 ,"74,2",Mujer
30.835,VIRGILINA,20 ,"74,2",Mujer
16123,KENNETH GEORGE,42 ,"74,1",Hombres
24272,ERNESTINO,25 ,"74,1",Hombres
632,FELICITAS,3.366 ,"74,1",Mujer
1077,BENIGNA,1.631 ,"74,1",Mujer
1191,HILARIA,1.374 ,"74,1",Mujer
1203,ENEDINA,1.349 ,"74,1",Mujer
1488,RICARDA,970 ,"74,1",Mujer
4346,FACUNDA,201 ,"74,1",Mujer
6765,LEOPOLDA,114 ,"74,1",Mujer
8063,DULCINA,92 ,"74,1",Mujer
9302,MARCIALA,77 ,"74,1",Mujer
12895,ERMELINA,52 ,"74,1",Mujer
15610,FELISA PILAR,42 ,"74,1",Mujer
8670,PRISCILIANO,90 ,"74,0",Hombres
25004,CRISOGONO,24 ,"74,0",Hombres
27457,VENERADO,22 ,"74,0",Hombres
2192,SALADINA,519 ,"74,0",Mujer
3219,MANOLITA,299 ,"74,0",Mujer
4216,PLACERES,209 ,"74,0",Mujer
5302,ALVARINA,154 ,"74,0",Mujer
6995,LIBORIA,109 ,"74,0",Mujer
12341,RAMOS,55 ,"74,0",Mujer
16418,MARY JOSEPHINE,40 ,"74,0",Mujer
24.339,VICTORA,26 ,"74,0",Mujer
26.825,MARIA SILVESTRA,23 ,"74,0",Mujer
28.127,RITA ANN,22 ,"74,0",Mujer
30.405,MARIA PILAR GLORIA,20 ,"74,0",Mujer
8242,CRESCENCIANO,95 ,"73,9",Hombres
9437,EMERENCIANO,80 ,"73,9",Hombres
11865,PERPETUO,61 ,"73,9",Hombres
15983,BARRIE,42 ,"73,9",Hombres
19536,JOSE MARIA LUIS,33 ,"73,9",Hombres
560,RUFINA,3.949 ,"73,9",Mujer
755,BENEDICTA,2.618 ,"73,9",Mujer
910,MAXIMINA,2.024 ,"73,9",Mujer
1622,PEREGRINA,842 ,"73,9",Mujer
1884,HERMENEGILDA,661 ,"73,9",Mujer
2052,ANSELMA,568 ,"73,9",Mujer
2470,PATRICIA ANN,434 ,"73,9",Mujer
3497,SALUSTIANA,266 ,"73,9",Mujer
6255,DEOGRACIAS,126 ,"73,9",Mujer
8210,GLICERIA,90 ,"73,9",Mujer
11772,PAMELA MARY,58 ,"73,9",Mujer
13461,ROSMARIE,50 ,"73,9",Mujer
14671,GAUDIOSA,45 ,"73,9",Mujer
22225,CENOBIA,28 ,"73,9",Mujer
23444,SINESIA,27 ,"73,9",Mujer
24.537,BRENDA MARY,25 ,"73,9",Mujer
30.368,MARIA CARMEN AMELIA,20 ,"73,9",Mujer
25279,JOSE MARIA VICENTE,24 ,"73,8",Hombres
392,MARCELINA,6.289 ,"73,8",Mujer
1006,PRUDENCIA,1.768 ,"73,8",Mujer
1508,MARCIANA,954 ,"73,8",Mujer
4259,EXPECTACION,206 ,"73,8",Mujer
5933,PUREZA,135 ,"73,8",Mujer
9020,MARIA CARMEN CONCEPCION,80 ,"73,8",Mujer
9147,TEONILA,79 ,"73,8",Mujer
10976,MATUTINA,63 ,"73,8",Mujer
11933,MARIA JOSEFA CARMEN,57 ,"73,8",Mujer
12975,MARIA JOSEFA PILAR,52 ,"73,8",Mujer
17050,HERMERINDA,38 ,"73,8",Mujer
17102,LIESELOTTE,38 ,"73,8",Mujer
18478,MARIA DOLORES JOSEFA,35 ,"73,8",Mujer
18484,MARIA JOSEFA DOLORES,35 ,"73,8",Mujer
29.354,PRUDENCIANA,21 ,"73,8",Mujer
9846,HANS DIETER,76 ,"73,7",Hombres
1216,ROGELIA,1.334 ,"73,7",Mujer
2006,GENARA,595 ,"73,7",Mujer
2179,CONSTANCIA,524 ,"73,7",Mujer
3971,REMIGIA,224 ,"73,7",Mujer
10845,MARIA PLACER,64 ,"73,7",Mujer
16664,HORACIA,39 ,"73,7",Mujer
17337,ARAMITA,37 ,"73,7",Mujer
19624,URBELINA,33 ,"73,7",Mujer
24.304,SOLMIRA,26 ,"73,7",Mujer
26.703,LAMBERTA,23 ,"73,7",Mujer
26.998,PONCIANA,23 ,"73,7",Mujer
28.263,TRIJNTJE,22 ,"73,7",Mujer
30.800,VALERIE ELIZABETH,20 ,"73,7",Mujer
13278,JESUS MARIA JOSE,53 ,"73,6",Hombres
14291,AVENTINO,48 ,"73,6",Hombres
21017,FRIEDRICH WILHELM,30 ,"73,6",Hombres
554,MODESTA,4.014 ,"73,6",Mujer
670,ENGRACIA,3.100 ,"73,6",Mujer
949,ISIDRA,1.890 ,"73,6",Mujer
1178,PURA,1.396 ,"73,6",Mujer
1315,ETELVINA,1.185 ,"73,6",Mujer
1594,CELEDONIA,866 ,"73,6",Mujer
2439,VIRGILIA,443 ,"73,6",Mujer
2898,SINFOROSA,344 ,"73,6",Mujer
3368,ALSIRA,280 ,"73,6",Mujer
3595,SILVESTRA,257 ,"73,6",Mujer
20362,EDELFINA,31 ,"73,6",Mujer
23835,FREDESWINDA,26 ,"73,6",Mujer
24.724,IGNASIA,25 ,"73,6",Mujer
24.951,MARIA PILAR AMPARO,25 ,"73,6",Mujer
5454,ZOSIMO,158 ,"73,5",Hombres
6728,ASCENSION,123 ,"73,5",Hombres
14760,ROGER JOHN,47 ,"73,5",Hombres
17042,FLOREANO,39 ,"73,5",Hombres
17909,OROSIO,37 ,"73,5",Hombres
19485,IDILIO,33 ,"73,5",Hombres
22220,GEOFFREY WILLIAM,28 ,"73,5",Hombres
28301,PETER LESLIE,21 ,"73,5",Hombres
162,VICENTA,26.338 ,"73,5",Mujer
650,INOCENCIA,3.214 ,"73,5",Mujer
1152,JULITA,1.455 ,"73,5",Mujer
2059,MELCHORA,565 ,"73,5",Mujer
2412,CIRILA,451 ,"73,5",Mujer
2641,PORFIRIA,396 ,"73,5",Mujer
4155,MARGARET ANN,212 ,"73,5",Mujer
4270,INDALECIA,205 ,"73,5",Mujer
4446,PATRICIA ANNE,195 ,"73,5",Mujer
8688,LEOCRICIA,84 ,"73,5",Mujer
17490,JOAN MARY,37 ,"73,5",Mujer
21364,SIEGLINDE,30 ,"73,5",Mujer
21817,MARCAS,29 ,"73,5",Mujer
22551,MARIA ROSARIO PILAR,28 ,"73,5",Mujer
28.085,PAMELA JOAN,22 ,"73,5",Mujer
